name,key_error,value_error,category_error
normal-fwd-Job,988,0.6647532009848014,0.022613065326633167
normal-fwd-Milk,1353,0.8425175712966788,0.00983284169124877
normal-fwd-Online Shop,2111,0.5980146806867164,0.007337526205450734
normal-fwd-alertCircle,1335,1.1283035082278057,0.007537688442211055
normal-fwd-circle__anticlockwise__linear__very_large__coral__fill__scale-0.5__sample-719,67,0.13698546933560812,0.01904761904761905
normal-fwd-circle__clockwise_45___linear__large__aqua__dotted-gap-20__scale-1.5__sample-934,4,0.32726132655142126,0.0
normal-fwd-icon_1102,1467,0.6412932042358241,0.0019801980198019802
normal-fwd-icon_125,1527,0.46201286206027453,0.007874015748031496
normal-fwd-icon_232,1086,0.6060663763218561,0.00936768149882904
normal-fwd-icon_459,1299,0.3819326213932785,0.01868131868131868
normal-fwd-icon_482,1958,0.39023062597700436,0.0031645569620253164
normal-fwd-icon_610,2016,0.4337836860470493,0.005797101449275362
normal-fwd-icon_616,960,0.5061713490763885,0.02132701421800948
normal-fwd-icon_633,1456,0.562957846339469,0.030065359477124184
normal-fwd-icon_650,1015,0.5579921445238906,0.0049833887043189366
normal-fwd-icon_678,938,0.9777248557593998,0.0049833887043189366
normal-fwd-icon_692,1718,0.5487314187768189,0.03213610586011342
normal-fwd-icon_716,1806,0.4391919060140815,0.014084507042253521
normal-fwd-icon_766,788,0.6653388641870279,0.04449152542372881
normal-fwd-icon_782,1866,0.4375826432226882,0.009184845005740528
normal-fwd-polygon_5__anticlockwise_225___ease-out__small__brown__dotted-gap-20__scale-0.5__sample-171,1,0.17590334275387035,0.0
normal-fwd-polygon_5__anticlockwise_270___linear__extremely_large__green__dotted-gap-20__scale-1.0__sample-821,0,0.32446120849090215,0.0
normal-fwd-polygon_5__clockwise_180___linear__very_large__coffee__outline__scale-1.5__sample-258,18,0.3312870841701886,0.0
normal-fwd-polygon_6__clockwise_180___linear__extremely_large__yellow__dotted-gap-20__scale-1.0__sample-992,0,0.35290635891807565,0.0
normal-fwd-polygon_6__clockwise_45___ease-out__very_small__black__outline__scale-0.5__sample-309,13,0.5107167033710256,0.008620689655172414
normal-fwd-polygon_6__clockwise_90___ease-in__extremely_large__orange__fill__scale-1.5__sample-976,19,0.27527858044612474,0.018018018018018018
normal-fwd-rounded-square_16__clockwise_225___ease-in__small__gold__fill__scale-1.5__sample-602,9,0.5385861281990738,0.018691588785046728
normal-fwd-rounded-square_16__clockwise_50___ease-out__medium__coral__outline__scale-1.5__sample-908,0,0.3394441128635352,0.0
normal-fwd-rounded-square_16__clockwise_60___ease-out__medium__aqua__outline__scale-1.0__sample-683,61,0.4626774347491899,0.02
normal-fwd-spinner_color-8A2BE2_entities-10_r-120_speed--0.7879968274976147_dir-clockwise,1049,0.5514386115005188,0.012237762237762238
normal-fwd-square__anticlockwise_180___linear__large__amber__fill__scale-1.0__sample-151,19,0.32653022509441926,0.031578947368421054
normal-fwd-square__anticlockwise_270___ease-out__very_small__navy__dotted-gap-20__scale-0.5__sample-593,0,0.3009585934318643,0.0
normal-fwd-square__clockwise_60___linear__large__aqua__fill__scale-1.5__sample-978,8,0.32985461575431385,0.018691588785046728
normal-fwd-square__clockwise_90___ease-out__small__red__dotted-gap-20__scale-1.0__sample-61,19,0.302781545732317,0.0
normal-fwd-square__clockwise__ease-out__extremely_large__cyan__fill__scale-1.5__sample-847,5,0.2657502448057352,0.0
normal-fwd-star_5__anticlockwise_125___ease-out__large__neon_pink__fill__scale-1.5__sample-895,21,0.45405140601178495,0.017391304347826087
normal-fwd-star_5__anticlockwise_180___ease-in__extremely_large__orange__dotted-gap-20__scale-1.0__sample-315,0,0.4823556602470779,0.0
