name,key_error,value_error,category_error
normal-fwd-Line Spacing,1121,0.8501367685166547,0.0111731843575419
normal-fwd-Strategy,1216,0.6155661463530906,0.010050251256281407
normal-fwd-icon_482,1424,0.8169483299022836,0.010548523206751054
normal-fwd-icon_766,586,0.579247302987395,0.0211864406779661
normal-fwd-icon_790,1514,0.5007674660095979,0.013493253373313344
normal-fwd-icon_897,562,0.497063165023227,0.033264033264033266
normal-fwd-polygon_5__anticlockwise_225___ease-out__small__brown__dotted-gap-20__scale-0.5__sample-171,16,0.13364205643957436,0.0
normal-fwd-polygon_5__anticlockwise_50___ease-in__very_large__green__outline__scale-1.0__sample-620,1,0.29718399511822796,0.0
normal-fwd-polygon_5__left-to-right__ease-out__very_small__neon_green__dotted-gap-20__scale-1.5__sample-306,5,0.27037993503104674,0.0
normal-fwd-polygon_6__anticlockwise_270___linear__extremely_large__blue__fill__scale-1.5__sample-810,46,0.3103073538569676,0.018018018018018018
normal-fwd-polygon_6__clockwise_45___ease-out__very_small__black__outline__scale-0.5__sample-309,26,0.30883019288939434,0.008620689655172414
normal-fwd-polygon_6__clockwise_60___ease-out__very_large__green__fill__scale-1.0__sample-149,20,0.3858596045700731,0.020202020202020204
normal-fwd-polygon_6__left-to-right__ease-in__small__ice__dotted-gap-20__scale-0.5__sample-612,18,0.2059747472411328,0.0
normal-fwd-polygon_6__right-to-left__ease-out__very_small__cyan__outline__scale-0.5__sample-599,13,0.27935567709863046,0.0
normal-fwd-rounded-square_16__clockwise_180___ease-in__small__gold__dotted-gap-20__scale-1.5__sample-458,2,0.3370820421428295,0.008333333333333333
normal-fwd-rounded-square_16__clockwise_45___ease-out__very_large__orange__dotted-gap-20__scale-1.0__sample-224,5,0.24420579767311068,0.0
normal-fwd-rounded-square_16__clockwise_60___ease-out__medium__aqua__outline__scale-1.0__sample-683,18,0.4425601518918402,0.01
normal-fwd-square__anticlockwise_180___linear__large__amber__fill__scale-1.0__sample-151,7,0.26026183381632734,0.021052631578947368
normal-fwd-square__clockwise_60___linear__large__aqua__fill__scale-1.5__sample-978,25,0.3460596417818903,0.018691588785046728
normal-fwd-square__clockwise_90___ease-out__small__red__dotted-gap-20__scale-1.0__sample-61,184,0.29784215997316604,0.027777777777777776
normal-fwd-star_5__anticlockwise_125___ease-out__large__neon_pink__fill__scale-1.5__sample-895,8,0.19038703152370154,0.017391304347826087
normal-fwd-star_5__clockwise_180___ease-out__medium__ice__outline__scale-1.5__sample-672,19,0.19821913098877023,0.008333333333333333
normal-fwd-star_5__clockwise_60___linear__small__umber__dotted-gap-20__scale-0.5__sample-718,2,0.34355044854833655,0.0
normal-fwd-star_8__anticlockwise_125___linear__large__pink__fill__scale-1.5__sample-190,42,0.1340494701764812,0.017391304347826087
normal-fwd-star_8__clockwise_50___linear__medium__blue__dotted-gap-20__scale-1.5__sample-988,4,0.2899754049952086,0.0
