name,key_error,value_error,category_error
normal-fwd-circle__anticlockwise_180___ease-in__very_small__blush__outline__scale-0.5__sample-449,18,0.5215980737601141,0.0
normal-fwd-circle__clockwise_180___linear__extremely_large__stone__outline__scale-1.5__sample-124,43,0.07890244693981092,0.0
normal-fwd-icon_128,972,0.30746056441044534,0.014040561622464899
normal-fwd-icon_160,1238,0.5086915585668756,0.009779951100244499
normal-fwd-icon_170,879,0.6200415222536945,0.025
normal-fwd-icon_499,819,0.6596728255678354,0.02459016393442623
normal-fwd-icon_746,677,0.4821849696198636,0.007058823529411765
normal-fwd-icon_830,740,0.8522622009346388,0.02975206611570248
normal-fwd-polygon_5__anticlockwise_180___ease-in__very_small__navy__fill__scale-1.0__sample-110,6,0.444933367608857,0.020202020202020204
normal-fwd-polygon_5__anticlockwise_180___ease-out__small__rose__dotted-gap-20__scale-1.0__sample-377,0,0.4152962237823548,0.0
normal-fwd-polygon_5__anticlockwise_180___linear__small__navy__dotted-gap-20__scale-0.5__sample-888,3,0.3028380305066959,0.0
normal-fwd-polygon_5__anticlockwise_60___ease-out__large__neon_blue__fill__scale-0.5__sample-88,6,0.34429403380078694,0.018018018018018018
normal-fwd-polygon_5__anticlockwise__ease-in__medium__navy__dotted-gap-20__scale-1.0__sample-158,6,0.2865285925564649,0.0
normal-fwd-polygon_5__anticlockwise__linear__very_small__olive__dotted-gap-20__scale-0.5__sample-907,0,0.2965544752604631,0.0
normal-fwd-polygon_5__clockwise_60___linear__very_large__stone__outline__scale-1.0__sample-423,24,0.2444046982488986,0.0
normal-fwd-polygon_5__clockwise_90___linear__small__burgundy__dotted-gap-20__scale-1.0__sample-628,1,0.18122725928887395,0.0
normal-fwd-polygon_5__clockwise__ease-in__very_large__baby_blue__dotted-gap-20__scale-1.5__sample-56,1,0.18699184497346333,0.0
normal-fwd-polygon_5__left-to-right__ease-out__extremely_large__jade__outline__scale-0.5__sample-682,21,0.28346874174334186,0.0
normal-fwd-polygon_5__up-to-down__ease-in__large__fire__dotted-gap-20__scale-1.0__sample-60,0,0.2825353269035966,0.0
normal-fwd-polygon_5__up-to-down__ease-out__large__slate__dotted-gap-20__scale-0.5__sample-461,0,0.22684807235859222,0.0
normal-fwd-polygon_6__clockwise_180___ease-out__very_large__marigold__fill__scale-1.0__sample-74,3,0.33625615331627706,0.0
normal-fwd-rounded-square_16__clockwise__ease-out__extremely_large__sand__outline__scale-1.5__sample-351,0,0.21164392272397312,0.0
normal-fwd-spinner_color-A52A2A_entities-5_r-70_speed-0.7937537455748216_dir-clockwise,490,0.5964495543165015,0.019543973941368076
